[2022-02-23 10:00:46,999] multiqc                                            [DEBUG  ]  This is MultiQC v1.12
[2022-02-23 10:00:47,000] multiqc                                            [DEBUG  ]  No MultiQC config found: /home/student5/miniconda3/envs/seti_st5/lib/python3.6/site-packages/multiqc_config.yaml
[2022-02-23 10:00:47,000] multiqc                                            [DEBUG  ]  No MultiQC config found: /home/student5/.multiqc_config.yaml
[2022-02-23 10:00:47,000] multiqc                                            [DEBUG  ]  No MultiQC config found: multiqc_config.yaml
[2022-02-23 10:00:47,000] multiqc                                            [DEBUG  ]  Command used: /home/student5/miniconda3/envs/seti_st5/bin/multiqc .
[2022-02-23 10:00:47,452] multiqc                                            [DEBUG  ]  Latest MultiQC version is v1.12
[2022-02-23 10:00:47,452] multiqc                                            [DEBUG  ]  Command     : /home/student5/miniconda3/envs/seti_st5/bin/multiqc .
[2022-02-23 10:00:47,453] multiqc                                            [DEBUG  ]  Working dir : /home/student5/results/fastqc_report
[2022-02-23 10:00:47,453] multiqc                                            [DEBUG  ]  Template    : default
[2022-02-23 10:00:47,453] multiqc                                            [DEBUG  ]  Running Python 3.6.13 |Anaconda, Inc.| (default, Jun  4 2021, 14:25:59)  [GCC 7.5.0]
[2022-02-23 10:00:47,453] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, ccs, ngsderive, purple, conpair, lima, peddy, somalier, methylQA, mosdepth, phantompeakqualtools, qualimap, preseq, quast, qorts, rna_seqc, rockhopper, rsem, rseqc, busco, bustools, goleft_indexcov, gffcompare, disambiguate, supernova, deeptools, sargasso, verifybamid, mirtrace, happy, mirtop, sambamba, homer, hops, macs2, theta2, snpeff, gatk, htseq, bcftools, featureCounts, fgbio, dragen, dedup, pbmarkdup, damageprofiler, biobambam2, jcvi, mtnucratio, picard, vep, sentieon, prokka, qc3C, nanostat, samblaster, samtools, sexdeterrmine, eigenstratdatabasetools, bamtools, jellyfish, vcftools, longranger, stacks, varscan2, snippy, bbmap, bismark, biscuit, hicexplorer, hicup, hicpro, salmon, kallisto, slamdunk, star, hisat2, tophat, bowtie2, bowtie1, snpsplit, odgi, pangolin, kat, leehom, adapterRemoval, clipandmerge, cutadapt, flexbar, kaiju, kraken, malt, trimmomatic, sickle, skewer, sortmerna, biobloomtools, fastq_screen, afterqc, fastp, fastqc, pychopper, pycoqc, minionqc, multivcfanalyzer, clusterflow, checkqc, bcl2fastq, bclconvert, interop, ivar, flash, seqyclean, optitype, whatshap
[2022-02-23 10:00:47,454] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /tmp/tmp3sw5rfr5
[2022-02-23 10:00:47,580] multiqc                                            [INFO   ]  Search path : /home/student5/results/fastqc_report
[2022-02-23 10:00:47,625] multiqc                                            [DEBUG  ]  File ignored by ccs/v4 because it exceeded search pattern filesize limit: ERR4859149_2_fastqc.html
[2022-02-23 10:00:47,626] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: ERR4859149_2_fastqc.html
[2022-02-23 10:00:47,626] multiqc                                            [DEBUG  ]  File ignored by lima/summary because it exceeded search pattern filesize limit: ERR4859149_2_fastqc.html
[2022-02-23 10:00:47,630] multiqc                                            [DEBUG  ]  File ignored by vep/vep_txt because it exceeded search pattern filesize limit: ERR4859149_2_fastqc.html
[2022-02-23 10:00:47,630] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: ERR4859149_2_fastqc.html
[2022-02-23 10:00:47,630] multiqc                                            [DEBUG  ]  File ignored by rockhopper because it exceeded search pattern filesize limit: ERR4859149_2_fastqc.html
[2022-02-23 10:00:47,630] multiqc                                            [DEBUG  ]  File ignored by rseqc/bam_stat because it exceeded search pattern filesize limit: ERR4859149_2_fastqc.html
[2022-02-23 10:00:47,630] multiqc                                            [DEBUG  ]  File ignored by rseqc/junction_annotation because it exceeded search pattern filesize limit: ERR4859149_2_fastqc.html
[2022-02-23 10:00:47,630] multiqc                                            [DEBUG  ]  File ignored by rseqc/read_distribution because it exceeded search pattern filesize limit: ERR4859149_2_fastqc.html
[2022-02-23 10:00:47,630] multiqc                                            [DEBUG  ]  File ignored by rseqc/infer_experiment because it exceeded search pattern filesize limit: ERR4859149_2_fastqc.html
[2022-02-23 10:00:47,735] multiqc                                            [DEBUG  ]  File ignored by nanostat because it exceeded search pattern filesize limit: ERR4859149_2_fastqc.html
[2022-02-23 10:00:47,750] multiqc                                            [DEBUG  ]  File ignored by ccs/v4 because it exceeded search pattern filesize limit: ERR4859151_2_fastqc.html
[2022-02-23 10:00:47,751] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: ERR4859151_2_fastqc.html
[2022-02-23 10:00:47,752] multiqc                                            [DEBUG  ]  File ignored by lima/summary because it exceeded search pattern filesize limit: ERR4859151_2_fastqc.html
[2022-02-23 10:00:47,754] multiqc                                            [DEBUG  ]  File ignored by vep/vep_txt because it exceeded search pattern filesize limit: ERR4859151_2_fastqc.html
[2022-02-23 10:00:47,754] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: ERR4859151_2_fastqc.html
[2022-02-23 10:00:47,754] multiqc                                            [DEBUG  ]  File ignored by rockhopper because it exceeded search pattern filesize limit: ERR4859151_2_fastqc.html
[2022-02-23 10:00:47,754] multiqc                                            [DEBUG  ]  File ignored by rseqc/bam_stat because it exceeded search pattern filesize limit: ERR4859151_2_fastqc.html
[2022-02-23 10:00:47,754] multiqc                                            [DEBUG  ]  File ignored by rseqc/junction_annotation because it exceeded search pattern filesize limit: ERR4859151_2_fastqc.html
[2022-02-23 10:00:47,754] multiqc                                            [DEBUG  ]  File ignored by rseqc/read_distribution because it exceeded search pattern filesize limit: ERR4859151_2_fastqc.html
[2022-02-23 10:00:47,754] multiqc                                            [DEBUG  ]  File ignored by rseqc/infer_experiment because it exceeded search pattern filesize limit: ERR4859151_2_fastqc.html
[2022-02-23 10:00:47,853] multiqc                                            [DEBUG  ]  File ignored by nanostat because it exceeded search pattern filesize limit: ERR4859151_2_fastqc.html
[2022-02-23 10:00:47,867] multiqc                                            [DEBUG  ]  File ignored by ccs/v4 because it exceeded search pattern filesize limit: ERR4859145_1_fastqc.html
[2022-02-23 10:00:47,868] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: ERR4859145_1_fastqc.html
[2022-02-23 10:00:47,868] multiqc                                            [DEBUG  ]  File ignored by lima/summary because it exceeded search pattern filesize limit: ERR4859145_1_fastqc.html
[2022-02-23 10:00:47,870] multiqc                                            [DEBUG  ]  File ignored by vep/vep_txt because it exceeded search pattern filesize limit: ERR4859145_1_fastqc.html
[2022-02-23 10:00:47,870] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: ERR4859145_1_fastqc.html
[2022-02-23 10:00:47,870] multiqc                                            [DEBUG  ]  File ignored by rockhopper because it exceeded search pattern filesize limit: ERR4859145_1_fastqc.html
[2022-02-23 10:00:47,870] multiqc                                            [DEBUG  ]  File ignored by rseqc/bam_stat because it exceeded search pattern filesize limit: ERR4859145_1_fastqc.html
[2022-02-23 10:00:47,870] multiqc                                            [DEBUG  ]  File ignored by rseqc/junction_annotation because it exceeded search pattern filesize limit: ERR4859145_1_fastqc.html
[2022-02-23 10:00:47,870] multiqc                                            [DEBUG  ]  File ignored by rseqc/read_distribution because it exceeded search pattern filesize limit: ERR4859145_1_fastqc.html
[2022-02-23 10:00:47,870] multiqc                                            [DEBUG  ]  File ignored by rseqc/infer_experiment because it exceeded search pattern filesize limit: ERR4859145_1_fastqc.html
[2022-02-23 10:00:47,972] multiqc                                            [DEBUG  ]  File ignored by nanostat because it exceeded search pattern filesize limit: ERR4859145_1_fastqc.html
[2022-02-23 10:00:47,987] multiqc                                            [DEBUG  ]  File ignored by ccs/v4 because it exceeded search pattern filesize limit: ERR4859142_1_fastqc.html
[2022-02-23 10:00:47,988] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: ERR4859142_1_fastqc.html
[2022-02-23 10:00:47,988] multiqc                                            [DEBUG  ]  File ignored by lima/summary because it exceeded search pattern filesize limit: ERR4859142_1_fastqc.html
[2022-02-23 10:00:47,990] multiqc                                            [DEBUG  ]  File ignored by vep/vep_txt because it exceeded search pattern filesize limit: ERR4859142_1_fastqc.html
[2022-02-23 10:00:47,990] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: ERR4859142_1_fastqc.html
[2022-02-23 10:00:47,990] multiqc                                            [DEBUG  ]  File ignored by rockhopper because it exceeded search pattern filesize limit: ERR4859142_1_fastqc.html
[2022-02-23 10:00:47,990] multiqc                                            [DEBUG  ]  File ignored by rseqc/bam_stat because it exceeded search pattern filesize limit: ERR4859142_1_fastqc.html
[2022-02-23 10:00:47,990] multiqc                                            [DEBUG  ]  File ignored by rseqc/junction_annotation because it exceeded search pattern filesize limit: ERR4859142_1_fastqc.html
[2022-02-23 10:00:47,990] multiqc                                            [DEBUG  ]  File ignored by rseqc/read_distribution because it exceeded search pattern filesize limit: ERR4859142_1_fastqc.html
[2022-02-23 10:00:47,990] multiqc                                            [DEBUG  ]  File ignored by rseqc/infer_experiment because it exceeded search pattern filesize limit: ERR4859142_1_fastqc.html
[2022-02-23 10:00:48,090] multiqc                                            [DEBUG  ]  File ignored by nanostat because it exceeded search pattern filesize limit: ERR4859142_1_fastqc.html
[2022-02-23 10:00:48,104] multiqc                                            [DEBUG  ]  File ignored by ccs/v4 because it exceeded search pattern filesize limit: ERR4859146_1_fastqc.html
[2022-02-23 10:00:48,105] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: ERR4859146_1_fastqc.html
[2022-02-23 10:00:48,105] multiqc                                            [DEBUG  ]  File ignored by lima/summary because it exceeded search pattern filesize limit: ERR4859146_1_fastqc.html
