Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR4859139_1	61.208383699823095	36.0	150.0	9.090909090909092	22735867.0
ERR4859139_2	60.3688628531125	36.0	150.0	9.090909090909092	22735867.0
ERR4859140_1	59.582712125723205	37.0	150.0	18.181818181818183	22384825.0
ERR4859140_2	57.77272754272064	37.0	150.0	18.181818181818183	22384825.0
ERR4859141_1	64.01289010998067	38.0	150.0	18.181818181818183	31204617.0
ERR4859141_2	62.899101282345704	38.0	150.0	18.181818181818183	31204617.0
ERR4859142_1	68.74606203580049	41.0	150.0	18.181818181818183	23545663.0
ERR4859142_2	66.8695620725272	41.0	150.0	18.181818181818183	23545663.0
ERR4859143_1	51.28991487727369	37.0	150.0	18.181818181818183	24762554.0
ERR4859143_2	49.86563779402429	36.0	150.0	9.090909090909092	24762554.0
ERR4859144_1	59.604246414187315	37.0	150.0	18.181818181818183	21819099.0
ERR4859144_2	58.5050895010729	37.0	150.0	18.181818181818183	21819099.0
ERR4859145_1	61.958562263474555	38.0	150.0	18.181818181818183	25573646.0
ERR4859145_2	60.783070977710764	38.0	150.0	18.181818181818183	25573646.0
ERR4859146_1	51.39629639736724	37.0	150.0	18.181818181818183	24694534.0
ERR4859146_2	50.269042824329574	37.0	150.0	18.181818181818183	24694534.0
ERR4859147_1	55.336163195266266	37.0	150.0	18.181818181818183	25637200.0
ERR4859147_2	53.61676789331578	37.0	150.0	18.181818181818183	25637200.0
ERR4859148_1	37.530113885860885	38.0	150.0	0.0	25221099.0
ERR4859148_2	36.663831920240895	38.0	150.0	0.0	25221099.0
ERR4859149_1	59.15583161586739	37.0	150.0	18.181818181818183	25649396.0
ERR4859149_2	58.38927012267355	37.0	150.0	18.181818181818183	25649396.0
ERR4859150_1	60.44455176434438	38.0	150.0	18.181818181818183	23074451.0
ERR4859150_2	59.434787826908945	38.0	150.0	18.181818181818183	23074451.0
ERR4859151_1	59.3183432769686	37.0	150.0	18.181818181818183	24469644.0
ERR4859151_2	57.350887169974236	37.0	150.0	18.181818181818183	24469644.0
ERR4859152_1	62.066494772623244	38.0	150.0	18.181818181818183	24566840.0
ERR4859152_2	61.197585568871546	38.0	150.0	18.181818181818183	24566840.0
ERR4859153_1	57.98850396411272	37.0	150.0	18.181818181818183	21942349.0
ERR4859153_2	57.13265674927447	37.0	150.0	18.181818181818183	21942349.0
ERR4859154_1	68.38073772840565	36.0	150.0	18.181818181818183	19044267.0
ERR4859154_2	67.20146034100915	36.0	150.0	18.181818181818183	19044267.0
ERR4859155_1	66.40336596157033	36.0	150.0	18.181818181818183	19623228.0
ERR4859155_2	65.44290826716654	36.0	150.0	18.181818181818183	19623228.0
ERR4859156_1	76.30616106113743	35.0	150.0	18.181818181818183	36074420.0
ERR4859156_2	75.9459473688943	35.0	150.0	18.181818181818183	36074420.0
ERR4859157_1	69.22922922335032	35.0	150.0	18.181818181818183	25727380.0
ERR4859157_2	68.19316257121972	35.0	150.0	18.181818181818183	25727380.0
ERR4859158_1	62.89680679479641	36.0	150.0	18.181818181818183	20077079.0
ERR4859158_2	62.05840532579717	36.0	150.0	18.181818181818183	20077079.0
ERR4859159_1	68.7207764487793	36.0	150.0	18.181818181818183	20822809.0
ERR4859159_2	67.08023075019604	36.0	150.0	18.181818181818183	20822809.0
ERR4859160_1	73.53858511909982	36.0	150.0	18.181818181818183	28817085.0
ERR4859160_2	72.53546473906832	36.0	150.0	18.181818181818183	28817085.0
ERR4859161_1	66.82328005444128	35.0	150.0	18.181818181818183	19851885.0
ERR4859161_2	66.14222762482085	35.0	150.0	18.181818181818183	19851885.0
ERR4859162_1	70.20197144725218	36.0	150.0	18.181818181818183	20907034.0
ERR4859162_2	69.04989791875592	36.0	150.0	18.181818181818183	20907034.0
