Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[environmental history]	Characteristics[stimulus]	Characteristics[organism part]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[environmental history]	Factor Value[stimulus]
Sample 1	ERS5348844	SAMEA7590522	Mytilus edulis	collected from outer fjord	none	gill	organism part	P-MTAB-103357	  	P-MTAB-103358	P-MTAB-103359	Novogene	Sample 1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	P-MTAB-103360	Novogene	Sample 1	sequencing assay	ERX4728561	MC2_1.fq.gz	MC2_1.fq.gz	ERR4859139	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR485/009/ERR4859139/ERR4859139_1.fastq.gz	collected from outer fjord (control)	none
Sample 1	ERS5348844	SAMEA7590522	Mytilus edulis	collected from outer fjord	none	gill	organism part	P-MTAB-103357	  	P-MTAB-103358	P-MTAB-103359	Novogene	Sample 1	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	P-MTAB-103360	Novogene	Sample 1	sequencing assay	ERX4728561	MC2_2.fq.gz	MC2_2.fq.gz	ERR4859139	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR485/009/ERR4859139/ERR4859139_2.fastq.gz	collected from outer fjord (control)	none
Sample 2	ERS5348845	SAMEA7590523	Mytilus edulis	collected from outer fjord	none	gill	organism part	P-MTAB-103357	  	P-MTAB-103358	P-MTAB-103359	Novogene	Sample 2	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	P-MTAB-103360	Novogene	Sample 2	sequencing assay	ERX4728562	MC3_1.fq.gz	MC3_1.fq.gz	ERR4859140	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR485/000/ERR4859140/ERR4859140_1.fastq.gz	collected from outer fjord (control)	none
Sample 2	ERS5348845	SAMEA7590523	Mytilus edulis	collected from outer fjord	none	gill	organism part	P-MTAB-103357	  	P-MTAB-103358	P-MTAB-103359	Novogene	Sample 2	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	P-MTAB-103360	Novogene	Sample 2	sequencing assay	ERX4728562	MC3_2.fq.gz	MC3_2.fq.gz	ERR4859140	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR485/000/ERR4859140/ERR4859140_2.fastq.gz	collected from outer fjord (control)	none
Sample 3	ERS5348846	SAMEA7590524	Mytilus edulis	collected from outer fjord	none	gill	organism part	P-MTAB-103357	  	P-MTAB-103358	P-MTAB-103359	Novogene	Sample 3	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	P-MTAB-103360	Novogene	Sample 3	sequencing assay	ERX4728563	MC4_1.fq.gz	MC4_1.fq.gz	ERR4859141	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR485/001/ERR4859141/ERR4859141_1.fastq.gz	collected from outer fjord (control)	none
Sample 3	ERS5348846	SAMEA7590524	Mytilus edulis	collected from outer fjord	none	gill	organism part	P-MTAB-103357	  	P-MTAB-103358	P-MTAB-103359	Novogene	Sample 3	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	P-MTAB-103360	Novogene	Sample 3	sequencing assay	ERX4728563	MC4_2.fq.gz	MC4_2.fq.gz	ERR4859141	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR485/001/ERR4859141/ERR4859141_2.fastq.gz	collected from outer fjord (control)	none
Sample 4	ERS5348847	SAMEA7590525	Mytilus edulis	collected from outer fjord	none	gill	organism part	P-MTAB-103357	  	P-MTAB-103358	P-MTAB-103359	Novogene	Sample 4	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	P-MTAB-103360	Novogene	Sample 4	sequencing assay	ERX4728564	MC5_1.fq.gz	MC5_1.fq.gz	ERR4859142	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR485/002/ERR4859142/ERR4859142_1.fastq.gz	collected from outer fjord (control)	none
Sample 4	ERS5348847	SAMEA7590525	Mytilus edulis	collected from outer fjord	none	gill	organism part	P-MTAB-103357	  	P-MTAB-103358	P-MTAB-103359	Novogene	Sample 4	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	P-MTAB-103360	Novogene	Sample 4	sequencing assay	ERX4728564	MC5_2.fq.gz	MC5_2.fq.gz	ERR4859142	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR485/002/ERR4859142/ERR4859142_2.fastq.gz	collected from outer fjord (control)	none
Sample 5	ERS5348848	SAMEA7590526	Mytilus edulis	collected from outer fjord	none	gill	organism part	P-MTAB-103357	  	P-MTAB-103358	P-MTAB-103359	Novogene	Sample 5	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	P-MTAB-103360	Novogene	Sample 5	sequencing assay	ERX4728565	MC6_1.fq.gz	MC6_1.fq.gz	ERR4859143	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR485/003/ERR4859143/ERR4859143_1.fastq.gz	collected from outer fjord (control)	none
Sample 5	ERS5348848	SAMEA7590526	Mytilus edulis	collected from outer fjord	none	gill	organism part	P-MTAB-103357	  	P-MTAB-103358	P-MTAB-103359	Novogene	Sample 5	PAIRED	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	300	30	P-MTAB-103360	Novogene	Sample 5	sequencing assay	ERX4728565	MC6_2.fq.gz	MC6_2.fq.gz	ERR4859143	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR485/003/ERR4859143/ERR4859143_2.fastq.gz	collected from outer fjord (control)	none
